20 ottobre 2019,50,Ottimo,Ci sono stato a far colazione con caffè e brioche. Il locale è molto carino e accogliente. Non fanno servizio al tavolo. Non c’era tanta gente e abbiamo trovato posto. Ho notato il servizio di brunch molto interessante ma non l’abbiamo provato.
17 settembre 2019,10,Pessimo servizio,"Bar molto fornito ma un servizio pessimo , fila alla cassa perché non ce nessuno, attesa per ordinare e personale maleducato , morale siamo scappati"
14 settembre 2019,20,È diventato uno degli aperitivi più scarsi a Milano,"L’aperitivo è peggiorato tantissimo. Tornati dopo qualche mese, qualcosa deve essere cambiato. Stessa composizione del buffet ma la qualità è scesa tantissimo. La pizza stile speedy pizza. Anche i drink non particolarmente buoni. Non lo consiglio piu’."
4 settembre 2019,40,Ottimo per aperitivo e lunch!,"Ottimo per l’aperitivo (ci sono stata diverse volte! Pizza strepitosa!) è un’ottima soluzione anche per pranzo! Cibo di qualità, ambiente piacevole e staff cordiale!"
27 agosto 2019,20,"La gente ci va solo per la posizione, pessimo aperitivo","Aperitivi carissimi (intorno ai 12 euro) serviti con olive e strisce di verdura. L'arredamento è carino e il personale non è scortese, ma c'è veramente di meglio tutto intorno, a rezzi inferiori, non andateci!!"
25 giugno 2019,40,Posto carino per aperitivo,Posto molto carino nei pressi di corso Buenos Aires. Cibo di qualità e buoni prezzi. Personale gentile e disponibile.
12 giugno 2019,20,Carino,Locale carino per l’aperitivo ma 11€ a cocktail mi sembra un po’ eccessivo rapportato a quello che c’era da mangiare al buffet.
5 maggio 2019,10,Pessimo,"Pessimo. Un'ora dopo aver ordinato due birre, quando ormai il bicchiere era vuoto, mi hanno portato questo misero piattino di pizza in tre persone. conto alto. Unica cosa positiva la posizione con vista montagne. Non tornerò più per l'aperitivo."
21 aprile 2019,40,Aperitivo,Posto piacevole per un drink veloce o una sosta lunga per un aperitivo con amici. Ben frequentato e non caotico
8 aprile 2019,30,Gae Aulenti,Location decisamente molto carina e curata. Qualità buona. I prezzi forse un po' altini anche per Milano.
31 marzo 2019,50,Bello e buono,Location molto carina in una buona posizione in zona porta Venezia. L'ho provato sia per colazione che per merenda e ci vorrei tornare per brunch/pranzo!!
24 febbraio 2019,30,Aperitivo nella media,Siamo stati in 4 per aperitivo. Delirio per i posti (e non accettano prenotazioni per meno di 6 persone). Locale carino. Pan di noci molto buono. Pizza buona ma a volte fredda nel buffet aperitivo. Alle 20 ci hanno “cacciato” per prenotazione altri clienti...
2 gennaio 2019,20,Un caro aperitivo,Siamo stati in questo locale per un aperitivo ma non ci siamo trovati bene nè sul cibo nè sull' ambiente. Aperitivo nella media ma con prezzi elevati (special spritz 12€) e personale poco gentile.
15 dicembre 2018,10,Tutto scadente,"Gentili domani, aperitivo buono domani, prezzi onesti domani, mal di pancia immediato!!! Cura ai dettagli nel dimenticatoio, buffet pagato a peso d'oro e causa di fitte alla pancia fortissime. Ma soprattutto se vi rode perchè scegliete di fare un lavoro come quello del cameriere?"
2 dicembre 2018,30,Senza infamia e senza lode,"Location molto carina. Il resto, insomma, mi aspettavo qualcosa in più. Un aperitivo al volo, comunque, ci sta."
1 dicembre 2018,40,Simpatico per la pausa caffè,"Vicino alla Fondazione Marconi, è uno spazio interessante che serve ottimi prodotti. Molto buono anche il pane e le focacce..."
30 novembre 2018,10,Complimenti 😨😨,"Vorrei fare davvero i complimenti al genio che ha deciso di cambiare il servizio di pranzo togliendo i piatti esposti per mettere la carte Confusione ritardi, chi serve che deve anche lavorare in cassa.... Ed in più hanno anche aumentato acqua e caffè ...."
24 novembre 2018,50,Colazione,"Posto bellissimo curato nei particolari, personale gentilissimo, bancone del pane della pizza delle brioches dolci e salate davvero spettacolare. Viene voglia di mangiare tutto. Davvero bello assortimento per i gusti di tutti ideale non solo per colazione. Davvero bellissimo"
10 ottobre 2018,10,Ma si può?,"Per scoraggiare l'uso del bagno ad un bimbo italiano di sette anni accompagnato dalla madre, il personale ha usato come scusa una imminente ""prova di evacuazione."
25 agosto 2018,40,Very good!,Come lo ricordavo... tutto buonissimo! Il servizio potrebbe migliorare un pochino ma per il resto va bene.
10 luglio 2018,40,Ambiente Cool,Dalla colazione al Lunch e fino all'aperitivo e oltre sempre prelibatezze sfornate fresche in un ambiente confortevolmente elegante e accogliente
1 luglio 2018,10,Pessimo,"Mai fatta una colazione peggiore, cornetto dalla forma discutibile e dal sapore di uova. Cappuccino incommentabile, con schiuma inconsistente. Mai più."
26 giugno 2018,10,Pandenus Piazza Gae MAI più,"È solo location, personale impreparato, aperitivo inesistente, prezzi alle stelle.usciti da lì siamo andati dove fanno aperitivi, seriamente! Mai più!"
18 giugno 2018,30,Nella media,"Servizio cortese, l'acqua è libera (cosa rarissima a Milano). I prezzi sono contenuti e c'è la possibilità di alimenti vegani. Si vende pane di vari tipi. Prezzi medio bassi."
10 giugno 2018,10,Sconsigliato!,Sono stato qui una domenica pomeriggio per prendere un caffè con la famiglia. 1.50€ per un caffè pessimo (ne abbiamo presi due). In pieno centro costa meno. Sconsigliato assolutamente.
9 giugno 2018,40,Gusto e simpatia,"Dolci, pane, pizza e insalate buissime. Il locale è accogliente e elegante. Il personale è molto gentile."
20 maggio 2018,10,Scarsa attenzione al cliente,Se prendete il bruch a Euro 25 assicuratevi che vi portino tutto quello che viene descritto nel menu. Personale non professionale. Peccato perchè la qualità dei prodotti non è male.
13 maggio 2018,40,Uno dei migliori aperitivi a Mi,"Pandenus è una garanzia per l’aperitivo milanese. Pizze in uscita su taglieri, cous cous, pinzimonio e verdure. Ce n’è per tutti i gusti e frutta per finire. Buoni i cocktail. Da provare insomma!"
22 aprile 2018,30,Posto molto stretto,"Siamo stati al brunch domenica scorsa con diversi bambini. Il brunch è abbastanza buono (anche se non è eccelso) , ma il posto è davvero troppo stretto. Non ci stanno quasi i piatti sul tavolo. Assolutamente inadatto per andare con i bambini ."
27 febbraio 2018,40,Accogliente,"Ci siamo fermati per un tè nel pomeriggio, fino alle sei perché poi iniziava l’aperitivo. Personale cortese e locale molto curato"
21 febbraio 2018,20,17€ insalata con salmone a pranzo,Un pranzo con insalatina con tartarre di salmone peraltro avanzata perché non particolarmente buona a 17 €. Prezzi non esposti... ridateci le vecchie panetterie di una volta.
11 febbraio 2018,50,BRUNCH FANTASTICO!,Locale pulito e accogliente! Lo staff molto gentile e disponibile e sopratutto un brunch buonissimo!!! Torneremo sicuramente
28 gennaio 2018,40,Il brunch PIÙ caro della storia,"Si vede che siamo a Milano! Selezione pandenus con pane marmellata e cioccolata. Salmone,uova,patate,avocado,pancake,noci,spinacini,pomodorini, insomma come quantità ci siamo. Qualità discreta. Però il dolce lasciava desiderare, caffè bruciato e poi: mi fai pagare 1,5€ una bottiglietta d'acqua non compresa nel menù di 25 euro? Speculazione."
30 dicembre 2017,40,"Ottimi cocktail, ambiente accogliente","Ottimi cocktail, servizio cortese e veloce, ambiente accogliente, prezzi adeguati, molto consigliato."
