24 gennaio 2020,50,Qualità,"Sono stato al Pandenus poco tempo fa per un drink in compagnia. Il locale molto carino, ci sono posti a sedere sia all'interno che all'esterno e l'atmosfera è davvero accogliente, lo staff è cordiale e preparato, nulla da dire sul servizio e sulla qualità dei cocktail. Ci tornerò sicuramente, bravi!"
24 gennaio 2020,50,Locale top!!,"Giovedì sera per un aperitivo rapido con amici, location piccola ma molto curata.. Tutto perfetto: musica, luci, personale attento e sorridente!! Ottimi i cocktail e la pizza è favolosa!! Ci torneró sicuramente."
22 gennaio 2020,20,Arance inavvicinabili,"Drinks buoni ma purtroppo il cibo, seppur saporito, era abbastanza scarso in varietà e quantità. Inoltre il personale è abbastanza scortese: la mia amica voleva un’arancia (ancora affamata perchè alle 21:15 hanno ritirato il cibo!!) ma non gliela hanno data seppur ci fossero due vasi stracolmi “per bellezza”. Complessivamente non soddisfacente."
11 gennaio 2020,30,Ideale per aperitivi rapidi,"Aperitivo pre natalizio con colleghi, atmosfera molto carina, elegante e accogliente. Aperitivo abbastanza scarso, poche alternative sul tavolo e in numero esiguo, però buone. Spritz nella media così come la cordialità del personale, sufficiente. Età media della clientela intorno a 35-40. Essendo in centro Milano, i prezzi sono adeguatiballa fascia alta."
6 gennaio 2020,40,👌🏻,"Passato ieri sera prima di cena. Bella atmosfera, staff gentile e servizio veloce. Negroni buono, così come la scelta di vini al calice. L’aperitivo non è molto vario, ottima però la pizza calda che viene sfornata in continuazione. Locale ottimo per un cocktail al volo prima di uscire a cena, torneró di sicuro."
10 dicembre 2019,40,Buon brunch domenicale,"Abbiamo preso due diversi tipi tra i menù proposti per il brunch a €25 (succo, caffè piatto caldo, selezione di pane e brioche con burro marmellata e crema di nocciole, poi caffè e dolcetto finale) tutto buono. Servizio veloce e cortese."
12 novembre 2019,30,È peggiorato,"Siamo sempre andati per colazione e piu spesso per L’ aperitivo ma ultimamente troviamo sia molto peggiorato, ghiaccio nei cocktail a profusione e cibo non pervenuto (quando finisce si aspettano mezz’ore intere perché venga riportato)prezzi sempre alti e servizio abbastanza rapido anche se i camerieri non sono svegli !"
18 ottobre 2019,20,Ma quale pizza gourmet! 9€,"Ma quale pizza gourmet! 9€ per una pizza margherita palesemente surgelata, da evitare assolutamente."
3 ottobre 2019,10,Ladri e scortesi,"Piatto combo acqua caffè 14€: piatto buono. Non prendo l’acqua, chiedo una coca cola mi avvisano che è fuori menù e mi portano una bottiglietta 20cl. Vado a pagare 18€. Ebbene sì. Siamo in un panificio caffè e pago 4€ una coca 0,20, nemmeno al ristorante che servono una 0,33cl. Faccio notare la cosa e mi rispondono in maniera scortese senza farmi uno sconto visto che nn ho preso l’acqua. Al che la chiedo da portar via e me la danno scocciati. Senza parole, siete dei disonesti e comprate le 0,33 almeno. Non ci torno più."
27 settembre 2019,10,Mai più,"Locale simile agli altri della catena, ma più cupo e strutturato male; in quanto la parte all’esterno è nettamente troppo piccola e quella al all’interno fin troppo claustrofobica. Cibo nella media ma troppo caro, caffe e cappuccino scadenti e fatti di fretta. Personale VERAMENTE SCORTESE e scarsa pulizia del locale. SCONSIGLIO VIVAMENTE"
27 agosto 2019,30,"Locale carino e ottimi cocktail, buffet scarso in varietà e qualità.","Sono stato al Pandenus di Corso Concordia per un aperitivo estivo, attratto dal locale grazioso che si intravede dalle ampie vetrate e dal dehor fuori strapieno di gente. in effetti questo piccolo bar è molto carino, curato e arredato in modo minimal (forse troppo), con minuscoli tavolini e sedie e sgabelli non troppo comodi. Se cercate però un aperitivo sostanzioso e un buffet vario e appetitoso, avete sbagliato locale: qui non si viene per mangiare, secondo la nuova tendenza a offrire poche cose e non fare “abbuffare” i clienti: grande attenzione infatti è rivolta ai cocktail, davvero particolari e “insoliti”, preparati con buona mano e ottimi ingredienti; valgono quindi la cifra (alta, per essere in questa zona di Milano) di 10 €. Non ci sono molti posti a sedere e sono molto vicini per sfruttare al massimo lo spazio disponibile, il servizio è rapido e gentile, ma il vero problema è il cibo. Non solo non c’è varietà, ma anche la qualità scarseggia, a parte le pizze preparate sul momento (abbastanza buone) e le polpettine di carne, che però non vengono rifornite spesso: c’è la generale impressione che non sia la priorità offrire da mangiare ai clienti, quanto piuttosto proporre cocktail eccellenti e particolari in un locale estremamente curato ed elegante. In conclusione, consigliato per i cocktail, ma solo per quello."
4 luglio 2019,10,Pranzo al volo (non per scelta nostra),"Siamo arrivate per pranzare velocemente, la mia amica ha preso una centrifuga piccola (7,5€) e io una pizza e una Coca-Cola e mi è stato detto che ci saremmo dovute alzare se arrivava qualcuno per pranzare. Allora, a me va anche bene questo discorso ma quello che non va assolutamente bene è la scortesia e la faccia scocciata della cameriera per ogni cosa le chiedessimo. Se c’è un prezzo fisso da spendere a pranzo, chiaritelo. Ma prima di farlo, assicuratevi di offrire un servizio decente almeno per i clienti che vengono da voi ogni giorno a lasciare soldi. Incontentabili e incommentabili."
28 giugno 2019,40,Buono,"Locale piccolo ma carino, con possibilità di tavolo esterno. Buoni cocktail... buon cibo. Pizza calda sfornata di continuo. Prezzi nella media"
27 giugno 2019,40,Pranzo veloce,"Mi trovo in piazza Risorgimento a Milano e trovo un mix tra chi vuole un pranzo completo e uno spuntino veloce , la gentilezza e il sorriso ti accompagna per la durata del pranzo , musica con un volume piacevole e piatti davvero sfiziosi lo consiglio e ci tornerò sicuramente , personale davvero disponibile"
25 giugno 2019,40,Locale per milanesi imbruttiti,"Buoni i cocktail, buona la cena, simpatico e rapido il servizio, in linea il conto. Io mi sono trovato bene e lo consiglio, non capisco tutte le recensioni così negative."
18 giugno 2019,20,DA EVITARE PER LA MALEDUCAZIONE,"Un locale carino ,dove il caffè è buono, peccato per il personale. Dalla responsabile ai dipendenti oltre il bancone , il servizio al tavolo si salva in alcuni esclusivi casi.Se acquisti il pane non puoi chiedere informazioni e bisogna fare attenzione a come o dove ti posizioni davanti alla cassa.Se si desidera prendere un caffè o una brioche al banco consiglio di cambiare locale, nei dintorni c'è di meglio per gentilezza e qualità."
17 giugno 2019,40,Sempre carino,È sempre bello tornare in questo posticino buoni i caffè le brioche. Gentili i camerieri prezzi nella norma
9 giugno 2019,40,Brunch in famiglia,Prenotato last second in una domenica con il tempo incerto brunch buono e classico prezzi giusti. Da tenere in considerazione
14 maggio 2019,20,NO SENSE,"La politica del locale prevede che tra le 19 e le 22 chiunque consumi una bibita (es Coca Cola, tra l’altro di 200ml) deve pagare lo stesso prezzo di chi prende un calice di vino o un cocktail con buffet (tra l’altro scarso) io sono sempre disponibile s spendere quanto dovuto per la qualità e il servizio, ma trovo che spendere 9€ in un locale normalissimo per una Coca Cola, sia vergognoso."
12 maggio 2019,20,Per milanesi imbruttiti,"Locale frequentato dal classico milanese imbruttito, quindi posto alla moda dove conta più l’apparire che il vero gusto. Tanto negli avventori quanto bei prodotti. Personale gentile"
27 marzo 2019,30,Locale molto carino....format che funziona,"Locale molto curato, bello e ordinato. Il “forno” con colazioni e pasticceria... noto che funziona sempre meglio. Piccolo spazio esterno. Aperitivi serali molto invoglianti."
26 marzo 2019,10,Quando la scarsa qualità incontra la maleducazione,"Siamo stati in questo locale per festeggiare un compleanno. Pochi i tavoli pieni nella serata, ma nonostante questo siamo stati serviti 20 min dopo aver ordinato. Bhe può capitare. Quello che non deve capitare è che i camerieri si mettano tra di loro a prendere in giro i clienti, facendo finta di sporcare e inquinare di proposito biatti e bicchieri dei clienti. Condiamo con birra annacquata, e un limoncello che, anche se servito in dose generosa, rimane una limonata e non un limoncello. Infatti alla mia richiesta il barista se la ride con i camerieri. Alla richiesta di spiegazione sui loro comportamenti invece di scusarsi il barista ha asserito che sicutamente volevamo attaccare briga e fare casino. Insomma è indecente. Mai piu"
